<meta message midi_port port=0 time=0>
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=21
note_on channel=9 note=40 velocity=0 time=15
note_on channel=9 note=42 velocity=76 time=12
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=36 velocity=113 time=32
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=36 velocity=0 time=15
note_on channel=9 note=42 velocity=76 time=11
note_on channel=9 note=42 velocity=0 time=17
note_on channel=9 note=40 velocity=121 time=31
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=40 velocity=0 time=18
note_on channel=9 note=42 velocity=76 time=8
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=36 velocity=119 time=32
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=23
note_on channel=9 note=36 velocity=0 time=9
note_on channel=9 note=42 velocity=72 time=16
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=40 velocity=127 time=32
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=21
note_on channel=9 note=40 velocity=0 time=24
note_on channel=9 note=42 velocity=78 time=3
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=36 velocity=108 time=32
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=36 velocity=0 time=11
note_on channel=9 note=42 velocity=76 time=15
note_on channel=9 note=42 velocity=0 time=14
note_on channel=9 note=40 velocity=127 time=34
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=19
note_on channel=9 note=40 velocity=0 time=19
note_on channel=9 note=42 velocity=82 time=10
note_on channel=9 note=42 velocity=0 time=12
note_on channel=9 note=36 velocity=127 time=36
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=36 velocity=0 time=17
note_on channel=9 note=42 velocity=78 time=9
note_on channel=9 note=42 velocity=0 time=15
note_on channel=9 note=40 velocity=127 time=33
note_on channel=9 note=42 velocity=119 time=0
note_on channel=9 note=42 velocity=0 time=20
note_on channel=9 note=40 velocity=0 time=16
note_on channel=9 note=42 velocity=76 time=12
note_on channel=9 note=42 velocity=0 time=14
note_on channel=9 note=36 velocity=119 time=34
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=18
note_on channel=9 note=36 velocity=0 time=14
note_on channel=9 note=42 velocity=82 time=16
note_on channel=9 note=42 velocity=0 time=13
note_on channel=9 note=40 velocity=127 time=35
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=19
note_on channel=9 note=40 velocity=0 time=24
note_on channel=9 note=42 velocity=82 time=5
note_on channel=9 note=42 velocity=0 time=17
note_on channel=9 note=36 velocity=125 time=31
note_on channel=9 note=42 velocity=113 time=0
